verb,voice,mood,tense,flagged_persons,note,auditor,timestamp
absoudre,voix_passive,subjonctif,passe,,Wrong handling of alternative forms and gender agreements.,jacobshing,2026-03-27T15:22:08+00:00
absoudre,voix_passive,subjonctif,plus_que_parfait,1sm;1sf; 2sm;2sf; 3sm;3sf; 1pm;1pf; 2pm;2pf; 3pm;3pf,"Wrong interpretation. the ""ou"" separates two alternative masculine forms. The feminie form is after the comma, with an e after the t.",jacobshing,2026-03-27T15:20:42+00:00
accélérer,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:38:16+00:00
acharner,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:25:05+00:00
affaisser,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:44:00+00:00
aigrir,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:16:01+00:00
alimenter,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:30:52+00:00
aliter,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:45:38+00:00
ameublir,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:42:41+00:00
amincir,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:31:03+00:00
aseptiser,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:35:15+00:00
assassiner,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:41:05+00:00
asseoir,voix_active_avoir,imperatif,present,,probably extra space?,jacobshing,2026-03-27T15:29:53+00:00
beugler,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:21:16+00:00
bituminer,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:38:14+00:00
blinder,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:50:51+00:00
bloquer,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:37:51+00:00
bosser,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:35:42+00:00
boursoufler,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:32:07+00:00
boutonner,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:30:48+00:00
brimbaler,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:41:35+00:00
brocheter,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:33:12+00:00
budgétiser,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:52:32+00:00
calfater,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:54:19+00:00
calfeutrer,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:41:16+00:00
camoufler,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:30:11+00:00
canonner,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:39:43+00:00
carillonner,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:23:09+00:00
cataloguer,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,Interpretation incorrect. The Passé forms are wrong.,jacobshing,2026-03-27T15:06:36+00:00
cerner,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:39:21+00:00
cesser,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:39:49+00:00
chiper,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:34:26+00:00
choir,voix_active_etre,indicatif,futur_simple,,alternative forms not handled,jacobshing,2026-03-27T12:50:11+00:00
circoncire,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:33:11+00:00
cligner,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:31:10+00:00
coaguler,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:18:07+00:00
collectiviser,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:51:31+00:00
commercialiser,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:39:01+00:00
conspuer,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:41:28+00:00
contracter,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:25:26+00:00
contredire,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:25:36+00:00
convier,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:35:51+00:00
coupler,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:18:51+00:00
couver,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:39:04+00:00
critiquer,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:36:20+00:00
danser,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:42:31+00:00
dissoudre,voix_passive,indicatif,passe_compose,,wrong forms for feminine,jacobshing,2026-03-27T15:53:54+00:00
dissoudre,voix_passive,subjonctif,imparfait,,,jacobshing,2026-03-27T15:40:46+00:00
dorloter,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:33:22+00:00
doter,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:39:11+00:00
drayer,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:35:16+00:00
déboussoler,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:34:15+00:00
décentrer,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:52:29+00:00
déchausser,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:22:54+00:00
déclarer,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:37:09+00:00
décloisonner,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:37:33+00:00
défraîchir,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:45:04+00:00
défroisser,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:24:23+00:00
dégommer,voix_active_avoir,participe,participe,,,jacobshing,2026-03-27T15:41:40+00:00
dégrosser,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:45:02+00:00
délatter,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:25:40+00:00
déliter,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:35:34+00:00
délocaliser,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:15:30+00:00
déléguer,voix_active_avoir,conditionnel,present,3pm;3pf,alternative form missing,jacobshing,2026-03-27T15:51:22+00:00
dénationaliser,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:29:35+00:00
dépolir,voix_passive,participe,participe,,,jacobshing,2026-03-27T15:54:10+00:00
dérocher,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:31:59+00:00
désembourgeoiser,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,Interpretation incorrect. The Passé forms are wrong.,jacobshing,2026-03-27T15:13:24+00:00
désemparer,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:27:18+00:00
désencadrer,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:20:51+00:00
désenneiger,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:27:08+00:00
désenrhumer,voix_passive,participe,participe,passe.sm; passe.sf; passe.pm; passe.pf,,jacobshing,2026-03-27T15:27:22+00:00
